,Company,Year,Number of CSA Articles,Scaled Number of CSA Articles,Normalized Scaled Number of CSA Articles
349,allstate corp,2007.0,3.0,0.0004431314623338257,0.11803914327917284
350,allstate corp,2007.0,3.0,0.0004431314623338257,0.11803914327917284
351,allstate corp,2008.0,3.0,0.0005075283369988157,0.13519286076805953
352,allstate corp,2008.0,3.0,0.0005075283369988157,0.13519286076805953
353,allstate corp,2008.0,3.0,0.0005075283369988157,0.13519286076805953
354,allstate corp,2008.0,3.0,0.0005075283369988157,0.13519286076805953
355,allstate corp,2009.0,10.0,0.00202757502027575,0.540095296025953
356,allstate corp,2009.0,10.0,0.00202757502027575,0.540095296025953
357,allstate corp,2009.0,10.0,0.00202757502027575,0.540095296025953
358,allstate corp,2009.0,10.0,0.00202757502027575,0.540095296025953
359,allstate corp,2010.0,2.0,0.0004510599909788002,0.1201511050969779
360,allstate corp,2010.0,2.0,0.0004510599909788002,0.1201511050969779
361,allstate corp,2010.0,2.0,0.0004510599909788002,0.1201511050969779
362,allstate corp,2010.0,2.0,0.0004510599909788002,0.1201511050969779
363,allstate corp,2011.0,2.0,0.00046157396722824835,0.12295176552042465
364,allstate corp,2011.0,2.0,0.00046157396722824835,0.12295176552042465
365,allstate corp,2011.0,2.0,0.00046157396722824835,0.12295176552042465
366,allstate corp,2011.0,2.0,0.00046157396722824835,0.12295176552042465
367,allstate corp,2012.0,5.0,0.0012156576707999028,0.3238208120593241
368,allstate corp,2012.0,5.0,0.0012156576707999028,0.3238208120593241
369,allstate corp,2012.0,5.0,0.0012156576707999028,0.3238208120593241
370,allstate corp,2012.0,5.0,0.0012156576707999028,0.3238208120593241
371,allstate corp,2013.0,7.0,0.0017318159327065809,0.4613124690747155
372,allstate corp,2013.0,7.0,0.0017318159327065809,0.4613124690747155
373,allstate corp,2013.0,7.0,0.0017318159327065809,0.4613124690747155
374,allstate corp,2013.0,7.0,0.0017318159327065809,0.4613124690747155
375,allstate corp,2014.0,4.0,0.001049042748492001,0.2794387621295568
376,allstate corp,2014.0,4.0,0.001049042748492001,0.2794387621295568
377,allstate corp,2014.0,4.0,0.001049042748492001,0.2794387621295568
378,allstate corp,2014.0,4.0,0.001049042748492001,0.2794387621295568
379,allstate corp,2015.0,8.0,0.0020050125313283208,0.5340852130325815
380,allstate corp,2015.0,8.0,0.0020050125313283208,0.5340852130325815
381,allstate corp,2015.0,8.0,0.0020050125313283208,0.5340852130325815
382,allstate corp,2015.0,8.0,0.0020050125313283208,0.5340852130325815
383,allstate corp,2016.0,10.0,0.002948982601002654,0.785535240342082
384,allstate corp,2016.0,10.0,0.002948982601002654,0.785535240342082
385,allstate corp,2016.0,10.0,0.002948982601002654,0.785535240342082
386,allstate corp,2016.0,10.0,0.002948982601002654,0.785535240342082
387,allstate corp,2017.0,4.0,0.00109080992637033,0.29056449413689667
388,allstate corp,2017.0,4.0,0.00109080992637033,0.29056449413689667
